sigma,lmba,alfa,enlarge_factor,fails,overlap,fps
6.0,0.001,0.15,1.4,99.0,0.3063819315203988,296.9631658927865
6.0,0.001,0.15,1.6,102.0,0.262406436994989,213.22897395619336
6.0,0.001,0.15,1.8,98.0,0.1830981540841283,202.86543649767515
6.0,0.001,0.15,2.0,104.0,0.1373871828306673,171.33321200239195
6.0,0.001,0.2,1.0,113.0,0.4234782349943065,418.24661760078766
6.0,0.001,0.2,1.2,104.0,0.3763053527629673,381.6772197365394
6.0,0.001,0.2,1.4,94.0,0.3068377087680439,308.01093769388984
6.0,0.001,0.2,1.6,96.0,0.2589401218687963,213.0829021948192
6.0,0.001,0.2,1.8,99.0,0.1871695246923388,199.51044086985067
6.0,0.001,0.2,2.0,104.0,0.1533434164958378,174.5766484817955
8.0,0.001,0.05,1.0,145.0,0.4092612359674106,416.9320851335604
8.0,0.001,0.05,1.2,134.0,0.3833741454313195,350.0688749198754
8.0,0.001,0.05,1.4,123.0,0.319170701159401,277.1341239684324
8.0,0.001,0.05,1.6,119.0,0.2418872928725674,191.32450481358555
8.0,0.001,0.05,2.0,121.0,0.14424938751585892,159.9487049062675
8.0,0.001,0.1,1.0,135.0,0.39947498681963967,419.9085158955927
8.0,0.001,0.1,1.2,116.0,0.34672750741723113,345.4386683130186
8.0,0.001,0.1,1.4,118.0,0.3058328635896163,272.13224145415694
8.0,0.001,0.1,1.6,108.0,0.23686861676686974,198.8547905091471
8.0,0.001,0.1,1.8,111.0,0.18868740865418374,198.735767431484
8.0,0.001,0.1,2.0,118.0,0.1536013094796596,171.0560152276676
8.0,0.001,0.15,1.0,136.0,0.3971208175825038,418.0643507840663
8.0,0.001,0.15,1.2,121.0,0.36033109509574374,336.8417621793186
8.0,0.001,0.15,1.4,118.0,0.3098955608613682,301.2173481619326
8.0,0.001,0.15,1.6,120.0,0.25261834527612953,215.33249258760068
8.0,0.001,0.15,1.8,113.0,0.18410742580867479,204.3625091725267
8.0,0.001,0.15,2.0,113.0,0.1450205810890097,167.80847859834893
8.0,0.001,0.2,1.0,128.0,0.39678369418503784,414.15920881146116
8.0,0.001,0.2,1.2,122.0,0.3635014856887016,327.8104527651491
8.0,0.001,0.2,1.4,119.0,0.3100912204002251,280.8510431721039
8.0,0.001,0.2,1.6,115.0,0.2513726748249993,200.0813586650596
8.0,0.001,0.2,1.8,115.0,0.20287504840923734,190.25358426925132
8.0,0.001,0.2,2.0,123.0,0.14420308781469537,166.91599140064278
1.0,0.01,0.05,1.0,111.0,0.4144768486741786,422.0424376466198
1.0,0.01,0.05,1.2,111.0,0.4071692677677203,355.4457189503869
1.0,0.01,0.05,1.4,89.0,0.33540287758565823,285.0162094582015
1.0,0.01,0.05,1.6,90.0,0.26881700116746193,212.995836160295
1.0,0.01,0.05,1.8,102.0,0.20055479581710742,189.0117306950521
1.0,0.01,0.05,2.0,125.0,0.13892550927086314,167.56533089846195
1.0,0.01,0.1,1.0,97.0,0.4510139686356194,416.79321821205644
1.0,0.01,0.1,1.2,84.0,0.40805914730823195,394.1281428110758
1.0,0.01,0.1,1.4,90.0,0.3245285126376038,307.9689067769374
1.0,0.01,0.1,1.6,86.0,0.2505794492245925,220.69068740345512
1.0,0.01,0.1,1.8,97.0,0.19904006981202546,221.36491661099228
1.0,0.01,0.1,2.0,110.0,0.148370573532456,165.621324932307
1.0,0.01,0.15,1.0,84.0,0.4484224785515431,398.6001117897577
1.0,0.01,0.15,1.2,74.0,0.4041633342787118,365.36541427007086
1.0,0.01,0.15,1.4,83.0,0.32936595750046543,290.7728083817263
1.0,0.01,0.15,1.6,86.0,0.26446794279766267,209.48689013736788
1.0,0.01,0.15,1.8,95.0,0.19125288611085065,213.81025712945143
1.0,0.01,0.15,2.0,114.0,0.14655648480128353,170.28194844472148
1.0,0.01,0.2,1.0,81.0,0.44674770336077957,416.09596559810035
1.0,0.01,0.2,1.2,73.0,0.3975339616747775,375.07504093048084
1.0,0.01,0.2,1.4,80.0,0.3210485351839872,294.23652127355706
1.0,0.01,0.2,1.6,87.0,0.2538877990456864,213.20255297813895
1.0,0.01,0.2,1.8,100.0,0.19346850853791914,205.11930118037185
1.0,0.01,0.2,2.0,116.0,0.1362152894625684,164.20326928495805
2.0,0.01,0.05,1.0,95.0,0.43905393541709054,415.6634467250091
2.0,0.01,0.05,1.2,74.0,0.4056078416405625,368.77535528345464
2.0,0.01,0.05,1.4,84.0,0.3323239898415006,294.2155617275687
2.0,0.01,0.05,1.6,81.0,0.2595280259802033,215.51515166949864
2.0,0.01,0.05,1.8,99.0,0.19547996167122045,173.80126411803354
2.0,0.01,0.05,2.0,98.0,0.15019313384306882,168.93278688296633
2.0,0.01,0.1,1.0,91.0,0.46377919834044234,403.1209690190486
